,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
12/02/2016,20,12,1,2.6,0.4,15,Sense dades,Sense dades,
13/02/2016,16,10,1,2,0.4,10,Sense dades,0.1,
14/02/2016,11,8,1,2,0.4,10,Sense dades,Sense dades,
15/02/2016,9,8,1,2,0.4,10,Sense dades,0.1,
16/02/2016,20,12,1,4.2,0.4,10,1.9,Sense dades,
17/02/2016,18,Sense dades,1,2,0.4,10,Sense dades,0.2,
18/02/2016,24,16,1,3.3,0.4,10,2.1,Sense dades,
19/02/2016,30,22,1,3.3,0.4,10,Sense dades,Sense dades,
20/02/2016,29,20,1,3,0.4,10,2.8,0.4,
21/02/2016,27,19,1,3.2,0.4,10,Sense dades,Sense dades,
22/02/2016,52,25,1,7.2,0.4,13.2,Sense dades,0.2,
23/02/2016,86,29,1,7.2,0.4,10,2.1,Sense dades,
24/02/2016,47,20,1,5.5,0.4,11.3,Sense dades,0.2,
25/02/2016,31,18,1,3.8,0.4,10,2.3,Sense dades,
26/02/2016,17,10,1,2.7,0.4,10,Sense dades,Sense dades,
27/02/2016,14,8,1,2,0.4,10,1.7,0.1,
28/02/2016,8,8,1,2,0.4,10,Sense dades,Sense dades,
29/02/2016,19,12,1,2,0.4,10,1.5,0.09,
01/03/2016,28,10,1,4.8,0.4,12.1,2,Sense dades,
02/03/2016,25,13,1,3.5,0.4,10,Sense dades,0.1,
03/03/2016,14,8,1,2,0.4,10,1.3,Sense dades,
04/03/2016,22,10,1,3,0.4,10,Sense dades,Sense dades,
05/03/2016,10,8,1,2,0.4,10,1.1,0,
06/03/2016,8,8,1,2,0.4,10,Sense dades,Sense dades,
07/03/2016,12,8,1,2,0.4,10,Sense dades,0.1,
08/03/2016,13,8,1,2.8,0.4,10,1.4,Sense dades,
09/03/2016,16,10,1,2,0.4,10,Sense dades,0.1,
10/03/2016,19,11,1,2,0.4,10,1.9,Sense dades,
11/03/2016,24,14,1,2.5,0.4,10,Sense dades,Sense dades,
12/03/2016,26,16,1,2,0.4,10,1.6,0.1,
13/03/2016,34,24,1,2,0.4,10,Sense dades,Sense dades,
14/03/2016,34,19,1,2,0.4,10,Sense dades,0.1,
15/03/2016,29,18,1,2,0.4,14,2.1,Sense dades,
16/03/2016,21,15,1,2,0.4,10,Sense dades,0,
17/03/2016,15,10,1,2,0.4,10,1.8,Sense dades,
18/03/2016,26,17,1,3.7,0.4,12.9,Sense dades,Sense dades,
19/03/2016,19,10,1,2.8,0.4,11,1.7,0.1,
20/03/2016,10,8,1,2,0.4,10,Sense dades,Sense dades,
21/03/2016,20,12,1,2.3,0.4,10,Sense dades,0.1,
22/03/2016,26,16,1,4.9,0.4,13.7,1.9,Sense dades,
23/03/2016,22,16,1,3.2,0.4,10,Sense dades,0.1,
24/03/2016,29,16,1,2.3,0.4,10.2,Sense dades,Sense dades,
25/03/2016,30,15,1,2.6,0.4,10,1.2,Sense dades,
26/03/2016,31,20,1,3.3,0.4,10,Sense dades,0.1,
27/03/2016,18,9,1,2.5,0.4,10,Sense dades,Sense dades,
28/03/2016,18,14,1,2.8,0.4,10,Sense dades,0.1,
29/03/2016,25,Sense dades,1,3.9,0.4,10.7,2.7,Sense dades,
30/03/2016,22,13,1,5.2,0.4,10,Sense dades,0,
31/03/2016,36,16,1,4.4,0.4,10,1.6,0.15,
01/04/2016,20,8,1,2,0.4,10,Sense dades,Sense dades,
02/04/2016,21,13,1,3.5,0.4,10,1.6,0.1,
03/04/2016,23,12,1,3.5,0.4,10,Sense dades,Sense dades,
04/04/2016,26,12,1,5.2,0.4,10,Sense dades,0.1,
05/04/2016,16,8,1,3.1,0.4,10,1.4,Sense dades,
06/04/2016,20,12,1,7.8,0.4,10,Sense dades,0.1,
07/04/2016,18,11,1,4.5,0.4,10,1.5,Sense dades,
08/04/2016,10,8,1,2,0.4,10,Sense dades,Sense dades,
09/04/2016,16,16,1,2.5,0.4,10,1.4,0.1,
10/04/2016,24,11,1,6.2,0.4,10,Sense dades,Sense dades,
11/04/2016,28,14,1,5.6,0.4,10,Sense dades,0.1,
12/04/2016,26,12,1,7.9,0.4,10,1.6,Sense dades,
13/04/2016,31,Sense dades,1,3.6,0.4,10,Sense dades,0.1,
14/04/2016,32,23,1,7,0.4,10,1.8,Sense dades,
15/04/2016,24,15,1,8.3,0.4,10,Sense dades,Sense dades,
16/04/2016,33,Sense dades,1,11.4,0.4,12.6,1.6,0.1,
17/04/2016,16,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
18/04/2016,18,12,1,2.3,0.4,10,Sense dades,0,
19/04/2016,26,16,1,2.4,0.4,10,1.6,Sense dades,
20/04/2016,27,Sense dades,1,2.1,0.4,10,Sense dades,0,
21/04/2016,14,13,1,3.9,0.4,10,1.2,Sense dades,
22/04/2016,28,20,1,6.4,0.4,10,Sense dades,Sense dades,
23/04/2016,20,17,1,3.5,0.4,10,1.1,0,
24/04/2016,22,14,1,2.5,0.4,10,Sense dades,Sense dades,
25/04/2016,31,Sense dades,1,3.3,0.4,10,Sense dades,0,
26/04/2016,25,14,1,3.2,0.4,10,1.4,Sense dades,
27/04/2016,14,8,1,2,0.4,10,Sense dades,0,
28/04/2016,14,9,1,2.2,0.4,10,1.1,Sense dades,
29/04/2016,19,11,1,3.6,0.4,10,Sense dades,0.13,
30/04/2016,25,12,1,3.2,0.4,10.6,1.7,0,
01/05/2016,14,12,1,2.5,0.4,10,Sense dades,Sense dades,
02/05/2016,23,8,1,5.2,0.4,10,Sense dades,0,
03/05/2016,23,11,1,6,0.4,10,1.1,Sense dades,
04/05/2016,29,14,1,4.6,0.4,10,Sense dades,0,
05/05/2016,22,11,1,3.2,0.4,10,0.9,Sense dades,
06/05/2016,20,9,1,2,0.4,10,Sense dades,Sense dades,
07/05/2016,18,9,1,2,0.4,10,0.8,0,
08/05/2016,14,8,1,2,0.4,10,Sense dades,Sense dades,
09/05/2016,32,10,1,2.3,0.4,10,Sense dades,0,
10/05/2016,22,11,1,3.6,0.4,10,1.3,Sense dades,
11/05/2016,18,14,1,2.5,0.4,10,Sense dades,0.1,
12/05/2016,20,13,1,3.8,0.4,10,1.2,Sense dades,
13/05/2016,20,11,1,4.5,0.4,10,Sense dades,Sense dades,
14/05/2016,17,11,1,3.4,0.4,10,Sense dades,0.1,
15/05/2016,17,10,1,2.5,0.4,10,0.9,Sense dades,
16/05/2016,18,11,1,3.9,0.4,10,Sense dades,0,
17/05/2016,20,12,1,5.1,0.4,10,0.9,Sense dades,
18/05/2016,28,16,1,6.9,0.4,10,Sense dades,0,
19/05/2016,26,21,1,5.9,0.4,10,0.9,Sense dades,
20/05/2016,23,11,1,4.1,0.4,10,Sense dades,Sense dades,
21/05/2016,30,19,1,3.6,0.4,10,1.2,0,
22/05/2016,22,10,1,3.8,0.4,10,Sense dades,Sense dades,
23/05/2016,20,16,1,2.1,0.4,17.5,Sense dades,0,
24/05/2016,21,11,1,3.8,0.4,10,1,Sense dades,
25/05/2016,22,9,1,5.2,0.4,10,Sense dades,0,
26/05/2016,18,8,1,3.3,0.4,10,0.5,Sense dades,
27/05/2016,27,12,1,7.3,0.4,10,Sense dades,Sense dades,
28/05/2016,30,13,1,8.5,0.4,10,Sense dades,0,
29/05/2016,14,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
30/05/2016,13,9,1,2.4,0.4,10,1.3,0,
31/05/2016,30,21,1,2.6,0.4,10,Sense dades,Sense dades,
01/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
02/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
03/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
04/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
05/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
06/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
07/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
10/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
11/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
12/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
14/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
15/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
16/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
17/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
18/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
19/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
20/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
21/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
22/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
23/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
24/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
25/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
26/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
27/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
28/06/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
29/06/2016,19,Sense dades,1,2,0.4,10,Sense dades,0.1,
30/06/2016,33,16,1,4.8,0.4,10,2.3,0.17,
01/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
02/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
03/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
04/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
05/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
06/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
07/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
10/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
11/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
12/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
14/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
15/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
16/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
17/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
18/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
19/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
20/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
21/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
22/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
23/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
24/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
25/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
26/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
27/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
28/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
29/07/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
30/07/2016,21,15,1,2,0.4,10,1.7,Sense dades,
31/07/2016,18,10,1,2.5,0.4,10,Sense dades,Sense dades,
01/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
02/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
03/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
04/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
05/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
06/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
07/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
10/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
11/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
12/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
14/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
15/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
16/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
17/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
18/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
19/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
20/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
21/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
22/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
23/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
24/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
25/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
26/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
27/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
28/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
29/08/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
30/08/2016,30,16,1,4,0.4,10,Sense dades,Sense dades,
31/08/2016,23,14,1,3,0.4,10,Sense dades,0.24,
01/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
02/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
03/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
04/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
05/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
06/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
07/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
10/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
11/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
12/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
14/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
15/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
16/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
17/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
18/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
19/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
20/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
21/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
22/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
23/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
24/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
25/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
26/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
27/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
28/09/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
29/09/2016,18,12,1,2,0.4,10,2,0.12,
30/09/2016,32,26,1,2.2,0.4,10,1.6,Sense dades,
01/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
02/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
03/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
04/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
05/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
06/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
07/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
10/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
11/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
12/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
14/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
15/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
16/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
17/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
18/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
19/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
20/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
21/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
22/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
23/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
24/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
25/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
26/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
27/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
28/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
29/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
30/10/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
31/10/2016,25,22,1,2,0.4,10,Sense dades,Sense dades,
01/11/2016,20,12,1,2,0.4,10,1.4,0.06,
02/11/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
03/11/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
04/11/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
05/11/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
06/11/2016,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
