,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
30/01/2015,22,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
31/01/2015,9,8,1,2,0.4,10,1.8,0.1,
01/02/2015,8,8,1,2,0.4,10,Sense dades,Sense dades,
02/02/2015,20,12,1,2,0.4,10.6,3.1,0.3,
03/02/2015,16,11,1,2.2,0.4,11.1,Sense dades,Sense dades,
04/02/2015,10,8,1,2,0.4,10,1.5,0.2,
05/02/2015,18,13,1,2,0.4,10,Sense dades,Sense dades,
06/02/2015,17,13,1,2,0.4,10,Sense dades,Sense dades,
07/02/2015,25,20,1,2,0.4,10,1.7,0.2,
08/02/2015,25,22,1,2,0.4,10,Sense dades,Sense dades,
09/02/2015,38,25,1,2.9,0.4,11.8,2.2,0.3,
10/02/2015,46,27,1,4.8,0.4,10.2,Sense dades,Sense dades,
11/02/2015,42,27,1,5.9,0.4,14.8,3.1,0.6,
12/02/2015,43,26,1,5.7,0.4,14.5,Sense dades,Sense dades,
13/02/2015,51,26,1,6.6,0.4,12,Sense dades,Sense dades,
14/02/2015,28,18,1,3.4,0.4,14.6,2.4,0.2,
15/02/2015,16,12,1,2,0.4,14.9,Sense dades,Sense dades,
16/02/2015,39,23,1,3.8,0.4,14,1.7,0.4,
17/02/2015,28,16,1,3.1,0.4,10.3,Sense dades,Sense dades,
18/02/2015,27,16,1,2.3,0.4,10,1.5,0.2,
19/02/2015,34,20,1,2.4,0.4,31.7,Sense dades,Sense dades,
20/02/2015,48,31,1,5.1,0.4,13.4,Sense dades,Sense dades,
21/02/2015,31,21,1,2.7,0.4,10,3.1,0.2,
22/02/2015,15,14,1,2,0.4,10,Sense dades,Sense dades,
23/02/2015,27,14,1,2.2,0.4,14.2,1.7,0.1,
24/02/2015,19,15,1,2,0.4,10,Sense dades,Sense dades,
25/02/2015,21,12,1,2,0.4,10,2.7,0.1,
26/02/2015,34,18,1,5,0.4,132.3,Sense dades,Sense dades,
27/02/2015,28,17,1,3.2,0.4,14.7,Sense dades,Sense dades,
28/02/2015,22,14,1,2,0.4,10,2.4,0.2,
01/03/2015,32,19,1,3.8,0.4,13.2,Sense dades,Sense dades,
02/03/2015,32,17,1,3.2,0.4,10,1.8,0.1,
03/03/2015,20,8,1,2.7,0.4,10,Sense dades,Sense dades,
04/03/2015,24,13,1,3.2,0.5,10.4,2.2,0.2,
05/03/2015,26,12,1,3.8,0.4,10,Sense dades,Sense dades,
06/03/2015,31,14,1,2.9,0.4,12.8,Sense dades,Sense dades,
07/03/2015,29,16,1,3.2,0.4,10,2,0.1,
08/03/2015,32,20,1,2.5,0.4,11.2,Sense dades,Sense dades,
09/03/2015,42,25,1,6.1,0.4,10.1,1.5,0.2,
10/03/2015,48,27,1,4.9,0.4,17.5,Sense dades,Sense dades,
11/03/2015,54,32,1,9.4,0.4,16.6,4.7,0.2,
12/03/2015,49,28,1,5.1,0.4,18.9,Sense dades,Sense dades,
13/03/2015,45,27,1,6.1,0.4,10,Sense dades,Sense dades,
14/03/2015,14,8,1,2,0.4,10,1,0.1,
15/03/2015,16,12,1,2,0.4,10,Sense dades,Sense dades,
16/03/2015,22,15,1,2,0.4,28.1,1.2,0.4,
17/03/2015,20,12,1,3.1,0.4,10,Sense dades,Sense dades,
18/03/2015,19,9,1,2,0.4,10,1.2,0,
19/03/2015,24,16,1,2,0.4,10,Sense dades,Sense dades,
20/03/2015,27,15,1,2,0.4,10,Sense dades,Sense dades,
21/03/2015,48,Sense dades,1,2.2,0.4,10,1.2,0,
22/03/2015,17,10,1,2,0.4,10,Sense dades,Sense dades,
23/03/2015,27,12,1,2,0.4,10,1.5,0,
24/03/2015,15,9,1,2,0.4,10,Sense dades,Sense dades,
25/03/2015,14,8,1,2.5,0.4,10,1.5,0.1,
26/03/2015,22,14,1,2.1,0.4,10,Sense dades,Sense dades,
27/03/2015,20,12,1,3.4,0.4,10,Sense dades,Sense dades,
28/03/2015,23,16,1,3.8,0.4,10,1.3,0.1,
29/03/2015,19,12,1,3.2,0.4,10,Sense dades,Sense dades,
30/03/2015,26,18,1,2.7,0.4,10,1.4,0,
31/03/2015,23,15,1,4,0.4,10,Sense dades,Sense dades,
01/04/2015,30,13,1,4.7,0.4,10,3.3,0,
02/04/2015,31,15,1,3.9,0.4,10,Sense dades,Sense dades,
03/04/2015,28,14,1,3.8,0.4,10,Sense dades,Sense dades,
04/04/2015,28,14,1,4,0.4,10,0.8,0,
05/04/2015,20,10,1,2.4,0.4,10,Sense dades,Sense dades,
06/04/2015,22,10,1,2,0.4,10,Sense dades,0,
07/04/2015,26,16,1,2,0.4,10,1,Sense dades,
08/04/2015,26,15,1,3.8,0.4,10,2.4,0.1,
09/04/2015,20,12,1,3.4,0.4,10,Sense dades,Sense dades,
10/04/2015,24,11,1,2.9,0.4,10,Sense dades,Sense dades,
11/04/2015,22,11,1,2.1,0.4,10,1.2,0,
12/04/2015,21,12,1,3.4,0.4,10,Sense dades,Sense dades,
13/04/2015,26,15,1,6.8,0.4,10,1.6,0.1,
14/04/2015,34,19,1,9.8,0.4,10.6,Sense dades,Sense dades,
15/04/2015,33,17,1,4.9,0.4,10,1.5,Sense dades,
16/04/2015,36,15,1,5.9,0.4,10,Sense dades,Sense dades,
17/04/2015,32,16,1,7,0.4,10,Sense dades,Sense dades,
18/04/2015,30,17,1,9.5,0.4,10,1.9,0,
19/04/2015,16,9,1,3.6,0.4,10,Sense dades,Sense dades,
20/04/2015,14,8,1,3.2,0.4,10,Sense dades,0,
21/04/2015,25,14,1,6.3,0.4,10,Sense dades,Sense dades,
22/04/2015,21,11,1,5.4,0.4,10,Sense dades,0,
23/04/2015,26,14,1,8.3,0.4,10,1.5,Sense dades,
24/04/2015,37,22,1,8.6,0.4,10,Sense dades,Sense dades,
25/04/2015,39,18,1,8.5,0.4,12.2,0.7,0,
26/04/2015,35,16,1,12.7,0.4,10,Sense dades,Sense dades,
27/04/2015,21,Sense dades,1,2.1,0.4,10,Sense dades,0,
28/04/2015,19,Sense dades,1,2.6,0.4,10,0.5,Sense dades,
29/04/2015,25,13,1,5.1,0.4,10,1,0,
30/04/2015,30,17,1,5.8,0.4,10,Sense dades,Sense dades,
01/05/2015,37,23,1,7.9,0.4,10,Sense dades,Sense dades,
02/05/2015,32,19,1,7.2,0.4,10,1.4,0,
03/05/2015,38,21,1,11.9,0.4,10,Sense dades,Sense dades,
04/05/2015,23,15,1,8.1,0.4,10,Sense dades,0,
05/05/2015,38,20,1,11.8,0.4,10,1,Sense dades,
06/05/2015,39,20,1,11.3,0.4,10,Sense dades,0,
07/05/2015,32,18,1,5.4,0.4,10,1.5,Sense dades,
08/05/2015,46,29,1,6.1,0.4,10,Sense dades,Sense dades,
09/05/2015,35,28,1,7,0.4,10,1.7,0,
10/05/2015,34,24,1,7.9,0.4,10,Sense dades,Sense dades,
11/05/2015,43,26,1,9.4,0.4,10,Sense dades,0,
12/05/2015,30,15,1,8,0.4,30.1,0.8,Sense dades,
13/05/2015,58,35,1,5.9,0.4,10,Sense dades,0,
14/05/2015,28,17,1,8.8,0.4,10,0.5,Sense dades,
15/05/2015,64,50,1,3.3,0.4,10,Sense dades,Sense dades,
16/05/2015,35,35,1,3.1,0.4,10,1.5,0,
17/05/2015,25,16,1,4.3,0.4,10,Sense dades,Sense dades,
18/05/2015,66,46,1,8.6,0.4,10,Sense dades,0,
19/05/2015,20,Sense dades,1,4.8,0.4,10,1.3,Sense dades,
20/05/2015,11,Sense dades,1,2.1,0.4,10,Sense dades,0,
21/05/2015,25,Sense dades,1,3.1,0.4,10,1.4,Sense dades,
22/05/2015,21,18,1,3.5,0.4,10,Sense dades,Sense dades,
23/05/2015,20,14,1,3.3,0.4,10,1.8,0,
24/05/2015,19,12,1,3.9,0.4,10,Sense dades,Sense dades,
25/05/2015,23,14,1,5.3,0.4,10,Sense dades,0,
26/05/2015,19,10,1,3.7,0.4,10,1.7,Sense dades,
27/05/2015,20,10,1,2.5,0.4,10,Sense dades,0,
28/05/2015,29,16,1,3.7,0.4,10,1.3,Sense dades,
29/05/2015,24,11,1,5.1,0.4,10,Sense dades,Sense dades,
30/05/2015,19,10,1,3.7,0.4,10,1.2,0,
31/05/2015,15,8,1,4.3,Sense dades,10,Sense dades,Sense dades,
01/06/2015,21,14,1,4.3,0.4,10,Sense dades,0,
02/06/2015,23,11,1,7.2,0.4,10,1,Sense dades,
03/06/2015,28,16,1,8.2,0.4,10,Sense dades,0.1,
04/06/2015,33,19,1,8.1,0.4,10,1.9,Sense dades,
05/06/2015,46,22,1,7.9,0.4,10,Sense dades,Sense dades,
06/06/2015,28,16,1,6,0.4,10,1.5,0,
07/06/2015,34,19,1,6.8,0.4,10,Sense dades,Sense dades,
08/06/2015,30,18,1,2.9,0.4,11.1,Sense dades,0,
09/06/2015,28,16,1,7.7,0.4,10,2.2,Sense dades,
10/06/2015,23,14,1,4.2,0.4,10,Sense dades,0,
11/06/2015,26,17,1,3.6,0.4,10,0.9,Sense dades,
12/06/2015,25,15,1,4.5,0.4,10,Sense dades,Sense dades,
13/06/2015,19,10,1,2.1,0.4,10,0.8,0,
14/06/2015,21,13,1,5.1,0.4,10,Sense dades,Sense dades,
15/06/2015,18,12,1,2,0.4,10,Sense dades,0,
16/06/2015,18,12,1,2.2,0.4,10,0.9,Sense dades,
17/06/2015,19,13,1,5,0.4,10,Sense dades,0,
18/06/2015,27,16,1,4.8,0.4,10,0.8,Sense dades,
19/06/2015,25,14,1,5.2,0.4,10,Sense dades,Sense dades,
20/06/2015,26,16,1,7.8,0.4,10,2.3,0,
21/06/2015,24,15,1,5.1,0.4,10,Sense dades,Sense dades,
22/06/2015,34,24,1,4.3,0.4,10,2.2,0,
23/06/2015,66,47,1,3.4,0.4,31,Sense dades,Sense dades,
24/06/2015,Sense dades,20,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
25/06/2015,23,14,1,4.1,0.4,10,1.1,Sense dades,
26/06/2015,27,16,1,7.7,0.4,10,Sense dades,Sense dades,
27/06/2015,23,14,1,5,0.4,10,0.5,0,
28/06/2015,21,13,1,3.8,0.4,10,Sense dades,Sense dades,
29/06/2015,32,21,1,5.4,0.4,10,Sense dades,0,
30/06/2015,33,18,1,6.2,0.4,10,2.6,Sense dades,
01/07/2015,25,15,1,5.4,0.4,10,Sense dades,0,
02/07/2015,24,11,1,2.5,0.4,10,1,Sense dades,
03/07/2015,32,15,1,3.4,0.4,10,Sense dades,Sense dades,
04/07/2015,36,18,1,7,0.4,10,1.8,0,
05/07/2015,38,22,1,5.8,0.4,10,Sense dades,Sense dades,
06/07/2015,46,26,1,6,0.4,10,Sense dades,0.1,
07/07/2015,45,25,1,7,0.4,10,2.5,Sense dades,
08/07/2015,31,15,1,3.8,0.4,10,Sense dades,0,
09/07/2015,38,18,1,2.7,0.4,10,1.4,Sense dades,
10/07/2015,39,19,1,3.9,0.4,10,Sense dades,Sense dades,
11/07/2015,32,15,1,3.6,0.4,10,1.2,0,
12/07/2015,31,16,1,6.3,0.4,10,Sense dades,Sense dades,
13/07/2015,26,14,1,5.5,0.4,10,Sense dades,0,
14/07/2015,31,17,1,4.6,0.4,10,1.2,Sense dades,
15/07/2015,38,21,1,6.3,0.4,10,Sense dades,0,
16/07/2015,31,18,1,4.9,0.4,10,1.7,Sense dades,
17/07/2015,24,15,1,5.2,0.4,10,Sense dades,Sense dades,
18/07/2015,30,18,1,4.2,0.4,10,1.3,0,
19/07/2015,24,14,1,3.7,0.4,10,Sense dades,Sense dades,
20/07/2015,27,16,1,5.1,0.4,10,Sense dades,0,
21/07/2015,33,19,1,7,0.4,10,1.2,Sense dades,
22/07/2015,25,21,1,3.5,0.4,10,Sense dades,0,
23/07/2015,27,16,1,4.3,0.4,10,1.2,Sense dades,
24/07/2015,30,17,1,4.7,0.4,10,Sense dades,Sense dades,
25/07/2015,20,10,1,2.4,0.4,10,0.9,0,
26/07/2015,25,16,1,2.5,0.4,10,Sense dades,Sense dades,
27/07/2015,22,11,1,2.2,0.4,10,Sense dades,0,
28/07/2015,24,10,1,3.2,0.4,10,1.2,Sense dades,
29/07/2015,27,15,1,Sense dades,0.4,10,Sense dades,0.1,
30/07/2015,21,9,1,Sense dades,0.4,10,0.9,Sense dades,
31/07/2015,20,10,1,2.2,0.4,10,Sense dades,Sense dades,
01/08/2015,12,8,1,2,0.4,10,0.7,0,
02/08/2015,16,11,1,2,0.4,10,Sense dades,Sense dades,
03/08/2015,24,13,1,2.8,0.4,17.5,Sense dades,0,
04/08/2015,21,12,1,2.4,0.4,10,0.9,Sense dades,
05/08/2015,25,15,1,5.4,0.4,10,Sense dades,0,
06/08/2015,26,15,1,5,0.4,10,1.2,Sense dades,
07/08/2015,Sense dades,14,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/08/2015,26,15,1,2.7,0.4,10,0.9,0,
09/08/2015,20,10,1,2,0.4,10,Sense dades,Sense dades,
10/08/2015,19,9,1,2,0.4,10,Sense dades,0,
11/08/2015,21,11,1,4.3,0.4,10,1.1,Sense dades,
12/08/2015,24,12,1,5,0.4,10,Sense dades,0,
13/08/2015,26,16,1,3.4,0.4,10,1.2,Sense dades,
14/08/2015,18,9,1,2,0.4,10,Sense dades,Sense dades,
15/08/2015,11,Sense dades,1,2,0.4,10,0.8,0,
16/08/2015,12,Sense dades,1,2,0.4,10,Sense dades,Sense dades,
17/08/2015,14,Sense dades,1,2,0.4,10,Sense dades,0,
18/08/2015,12,Sense dades,1,2,0.4,10,1,Sense dades,
19/08/2015,18,Sense dades,1,2.5,0.4,10,Sense dades,0,
20/08/2015,19,10,1,2.6,0.4,10,1.4,Sense dades,
21/08/2015,19,12,1,3.7,0.4,10,Sense dades,Sense dades,
22/08/2015,17,12,1,4.3,0.4,10,1.1,0,
23/08/2015,20,13,1,3.5,0.4,10,Sense dades,Sense dades,
24/08/2015,22,12,1,2,0.4,10,Sense dades,0,
25/08/2015,21,10,1,2,0.4,10,1,Sense dades,
26/08/2015,24,11,1,2.6,0.4,10,Sense dades,0,
27/08/2015,21,11,1,2.2,0.4,10,2,Sense dades,
28/08/2015,20,10,1,3.2,0.4,10,Sense dades,Sense dades,
29/08/2015,16,9,1,2.7,0.4,10,1.2,0,
30/08/2015,20,13,1,3.2,0.4,10,Sense dades,Sense dades,
31/08/2015,36,18,1,4.5,0.4,10,Sense dades,0,
01/09/2015,24,12,1,4,0.4,10,1.2,Sense dades,
02/09/2015,26,13,1,3.5,0.4,10,Sense dades,0,
03/09/2015,32,16,1,2.8,0.4,10,1.1,Sense dades,
04/09/2015,23,15,1,3.1,0.4,10,Sense dades,Sense dades,
05/09/2015,15,10,1,2,0.4,10,1,0,
06/09/2015,16,9,1,2,0.4,10,Sense dades,Sense dades,
07/09/2015,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
08/09/2015,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,1.2,Sense dades,
09/09/2015,19,10,1,2.9,0.4,10,Sense dades,0,
10/09/2015,27,Sense dades,1,5.1,0.4,11.1,Sense dades,Sense dades,
11/09/2015,20,Sense dades,1,2.8,0.5,10,Sense dades,Sense dades,
12/09/2015,22,Sense dades,1,2.4,0.4,10,1.6,0,
13/09/2015,25,Sense dades,1,4.9,0.4,10,Sense dades,Sense dades,
14/09/2015,19,Sense dades,1,2.5,0.4,10,Sense dades,0,
15/09/2015,24,11,1,4,0.4,10,1.4,Sense dades,
16/09/2015,36,16,1,5.6,0.4,10,Sense dades,0,
17/09/2015,25,12,1,3.1,0.4,10,1.1,Sense dades,
18/09/2015,18,9,1,2.8,0.4,10,Sense dades,Sense dades,
19/09/2015,22,12,1,3,0.4,10,1.3,0,
20/09/2015,14,8,1,2.1,0.4,10,Sense dades,Sense dades,
21/09/2015,19,10,1,3.6,0.4,10,Sense dades,0,
22/09/2015,22,20,1,4.5,0.7,10,1.4,Sense dades,
23/09/2015,18,13,1,2.2,0.4,10,Sense dades,0,
24/09/2015,18,12,1,2.6,0.4,10,1.3,Sense dades,
25/09/2015,22,12,1,3.7,0.4,10,Sense dades,Sense dades,
26/09/2015,17,11,1,2.6,0.4,10,1.4,0,
27/09/2015,16,11,1,2,0.4,10,Sense dades,Sense dades,
28/09/2015,21,13,1,2,0.4,10,Sense dades,0,
29/09/2015,18,11,1,2,0.4,10,1.1,Sense dades,
30/09/2015,18,9,1,2,0.4,10,Sense dades,0,
01/10/2015,27,13,1,2.4,0.4,10,1.6,Sense dades,
02/10/2015,20,12,1,2.3,0.4,10,Sense dades,Sense dades,
03/10/2015,23,Sense dades,1,3.1,0.4,10,2.1,0.1,
04/10/2015,20,Sense dades,1,2.4,0.4,10,Sense dades,Sense dades,
05/10/2015,34,Sense dades,1,4.5,0.4,10,Sense dades,0.2,
06/10/2015,27,14,1,4.5,0.4,10,Sense dades,Sense dades,
07/10/2015,22,Sense dades,1,2.8,0.4,10,Sense dades,0,
08/10/2015,19,Sense dades,1,2.7,0.4,11.1,1.4,Sense dades,
09/10/2015,19,Sense dades,1,3.8,0.4,10,Sense dades,Sense dades,
10/10/2015,22,15,1,3.5,0.4,10,1.7,0.1,
11/10/2015,27,18,1,5.8,0.4,10,Sense dades,Sense dades,
12/10/2015,27,14,1,3.6,0.4,10,Sense dades,0,
13/10/2015,21,17,1,2,0.4,10,1.7,Sense dades,
14/10/2015,20,13,1,2.6,0.4,10,Sense dades,0.1,
15/10/2015,19,12,1,2,0.4,10,1.6,Sense dades,
16/10/2015,20,10,1,2,0.4,10,Sense dades,Sense dades,
17/10/2015,20,12,1,2,0.4,10,1.6,0.1,
18/10/2015,30,22,1,4.5,0.4,10,Sense dades,Sense dades,
19/10/2015,23,13,1,2,0.4,10,Sense dades,0.1,
20/10/2015,18,10,1,2,0.4,10,1.8,Sense dades,
21/10/2015,19,12,1,2.9,0.4,10,Sense dades,0,
22/10/2015,28,17,1,3.4,0.4,10,2.2,Sense dades,
23/10/2015,29,18,1,6.3,0.4,10,Sense dades,Sense dades,
24/10/2015,36,25,1,7.8,0.4,16.8,2.6,0.2,
25/10/2015,27,20,1,2.5,0.4,10,Sense dades,Sense dades,
26/10/2015,21,16,1,2,0.4,10,Sense dades,0.1,
27/10/2015,20,16,1,5.6,0.4,10,Sense dades,Sense dades,
28/10/2015,16,Sense dades,1,2,0.4,10,Sense dades,0.2,
29/10/2015,22,12,1,4.4,0.4,10,2.4,Sense dades,
30/10/2015,21,13,1,3.3,0.4,13,Sense dades,Sense dades,
31/10/2015,20,13,1,2.3,0.4,10,1.7,0.1,
01/11/2015,27,14,1,2,0.4,10,Sense dades,Sense dades,
02/11/2015,32,13,1,2,0.4,10,Sense dades,0,
03/11/2015,24,8,1,2.7,0.4,10,0.6,Sense dades,
04/11/2015,24,14,1,3.5,0.4,10,Sense dades,0.2,
05/11/2015,30,18,1,6.3,0.4,10,2.2,Sense dades,
06/11/2015,48,35,1,7.1,0.4,20.4,Sense dades,Sense dades,
07/11/2015,39,30,1.1,7.6,0.4,13.1,2.5,0.1,
08/11/2015,36,34,1,5.4,0.4,10,Sense dades,Sense dades,
09/11/2015,37,27,1,8.2,0.4,10,Sense dades,0.2,
10/11/2015,31,20,1,6.1,0.4,10,3.7,Sense dades,
11/11/2015,32,23,1,6.7,0.4,10.8,Sense dades,0.3,
12/11/2015,34,23,1,4.9,0.4,12.7,2.6,Sense dades,
13/11/2015,34,24,1,3.7,0.4,10,Sense dades,Sense dades,
14/11/2015,20,14,1,2,0.4,10,1.8,0.2,
15/11/2015,40,19,1,6.2,0.4,10,Sense dades,Sense dades,
16/11/2015,30,17,1,5.2,0.5,10,Sense dades,0.3,
17/11/2015,30,18,1,6.4,0.4,10,3.3,Sense dades,
18/11/2015,40,23,1,5.7,0.4,14.8,Sense dades,0.5,
19/11/2015,45,27,1,8.3,0.6,39.3,Sense dades,Sense dades,
20/11/2015,41,23,1,4.9,0.4,19.5,Sense dades,Sense dades,
21/11/2015,38,27,1,2,0.4,10,Sense dades,0.1,
22/11/2015,13,10,1,2,0.4,10,Sense dades,Sense dades,
23/11/2015,23,15,1,2.3,0.4,10,Sense dades,0.3,
24/11/2015,24,15,1,2.5,0.4,10,1.8,Sense dades,
25/11/2015,29,17,1,2.4,0.4,10,Sense dades,0.4,
26/11/2015,29,17,1,2.2,0.4,15.8,2.3,Sense dades,
27/11/2015,31,18,1,3,0.4,12.2,Sense dades,Sense dades,
28/11/2015,29,18,1,3.2,0.4,10.8,2.7,0.6,
29/11/2015,16,11,1,2,0.4,10,Sense dades,Sense dades,
30/11/2015,36,22,1,3.8,0.4,12.9,Sense dades,0.6,
01/12/2015,51,31,1,4.2,0.5,29.3,3.7,Sense dades,
02/12/2015,57,36,1,9.7,0.4,23.7,Sense dades,0.9,
03/12/2015,55,38,1,5.2,0.6,29.5,3.1,Sense dades,
04/12/2015,72,53,1,6.9,0.4,24.8,Sense dades,Sense dades,
05/12/2015,72,53,1,6.4,0.7,33.3,3.8,1.1,
06/12/2015,53,42,1,3.8,0.8,24.3,Sense dades,Sense dades,
07/12/2015,54,41,1,4.2,0.7,20.5,Sense dades,0.8,
08/12/2015,36,26,1,4.8,0.4,12.4,3.5,Sense dades,
09/12/2015,42,28,1,4,0.4,14.7,Sense dades,0.4,
10/12/2015,39,24,1,5.1,0.4,10,Sense dades,Sense dades,
11/12/2015,40,26,1,4.1,0.4,10,Sense dades,Sense dades,
12/12/2015,33,22,1,3.2,0.4,10,2.4,0.4,
13/12/2015,31,23,1,3.8,0.4,10,Sense dades,Sense dades,
14/12/2015,45,28,1,6.2,0.5,26.7,Sense dades,1,
15/12/2015,59,32,1.3,6.9,0.4,21.6,4.3,Sense dades,
16/12/2015,76,46,1.1,8.5,0.5,22.3,Sense dades,1,
17/12/2015,60,34,1,7.7,0.4,18.8,3.9,Sense dades,
18/12/2015,67,41,1,6.6,0.4,19.5,Sense dades,Sense dades,
19/12/2015,64,43,1,8.5,0.4,17.2,Sense dades,0.8,
20/12/2015,72,47,1,5.9,0.4,13,Sense dades,Sense dades,
21/12/2015,49,29,1,7.8,0.4,10,Sense dades,0.2,
22/12/2015,52,31,1,4.2,0.4,10,2.6,Sense dades,
23/12/2015,46,28,1,5.7,0.4,15.1,2.6,0.3,
24/12/2015,39,24,1,4.6,0.4,10.1,Sense dades,Sense dades,
25/12/2015,43,30,1,5.6,0.4,10.1,Sense dades,Sense dades,
26/12/2015,41,29,1,4.1,0.4,10,3,0.5,
27/12/2015,36,25,1,3.4,0.4,10.8,Sense dades,Sense dades,
28/12/2015,43,28,1,6.4,0.4,10.7,Sense dades,0.7,
29/12/2015,44,25,1,6,0.4,10.9,3.3,Sense dades,
30/12/2015,33,19,1,3.6,0.4,10,2.4,0.3,
31/12/2015,34,22,1,3.2,0.4,10,Sense dades,Sense dades,
01/01/2016,35,24,1,3.3,0.4,10,Sense dades,Sense dades,
